,name,year,rating,metascore,num_votes
0,Jogan,1950,7.3,,66.0
1,Babul,1950,7.0,,56.0
2,Dastan,1950,6.9,,47.0
3,Jan Pahchan,1950,7.0,,45.0
4,Arzoo,1950,6.6,,38.0
5,Dilruba,1950,6.8,,29.0
6,Bawre Nain,1950,6.7,,29.0
7,Nirala,1950,6.4,,27.0
8,Samadhi,1950,6.2,,24.0
9,Sargam,1950,6.8,,23.0
10,Sangram,1950,6.3,,23.0
11,Afsar,1950,6.6,,19.0
12,Dahej,1950,5.9,,16.0
13,Pardes,1950,7.1,,14.0
14,Beqasoor,1950,6.4,,14.0
15,Dharti Ke Lal,1950,6.8,,14.0
16,Sheesh Mahal,1950,7.0,,13.0
17,Birha Ki Raat,1950,6.9,,13.0
18,Madhubala,1950,5.7,,11.0
19,Pyaar,1950,7.8,,10.0
20,Aadhi Raat,1950,6.1,,10.0
21,Meena Bazaar,1950,7.0,,9.0
22,Nili,1950,7.4,,8.0
23,Har Har Mahadev,1950,5.9,,8.0
24,Khel,1950,6.9,,8.0
25,Hamari Beti,1950,6.1,,7.0
26,Pehla Aadmi,1950,6.6,,7.0
27,Aankhen,1950,5.7,,6.0
28,Anmol Ratan,1950,6.2,,5.0
29,Nishana,1950,7.4,,5.0
30,Mashaal,1950,6.2,,5.0
31,Kanjoos,1950,,,
32,Deewana,1950,,,
33,Dushman,1950,,,
34,Loafer,1950,,,
35,Roti,1950,,,
36,Sangeeta,1950,,,
37,Saudamini,1950,,,
38,Gurudakshina,1950,,,
39,Bachelor Husband,1950,,,
40,Bakhshish,1950,,,
41,Bhagwan Shri Krishna,1950,,,
42,Biwi,1950,,,
43,Shri Ram Avtar,1950,,,
44,Shri Krishna Darshan,1950,,,
45,Dolti Naiya,1950,,,
46,Ram Darshan,1950,,,
47,Raj Rani,1950,,,
48,Raj Mukut,1950,,,
49,Pyaar Ki Manzil,1950,,,
50,Muqaddar,1950,,,
51,Meri Asha,1950,,,
52,Chhoti Bhabbi,1950,,,
53,Bhai Bahen,1950,,,
54,Sachcha Pyaar,1950,,,
55,Bahurani,1950,,,
56,Actor,1950,,,
57,Achchhaji,1950,,,
58,Apni Chhaya,1950,,,
59,Sabak,1950,,,
60,Lavangi,1950,,,
61,Man Ka Meet,1950,,,
62,Shadi Ki Raat,1950,,,
63,Rupaiya,1950,,,
64,Nirdosh,1950,,,
65,Nai Bhabhi,1950,,,
66,Kamal Ke Phool,1950,,,
67,Chor,1950,,,
68,Sati Narmada,1950,,,
69,Hanste Rehna,1950,,,
70,Alakh Niranjan,1950,,,
71,Surajmukhi,1950,,,
72,Veer Bhimsen,1950,,,
73,Shaan,1950,,,
74,Kisi Ki Yaad,1950,,,
75,Jalte Deep,1950,,,
76,Pagle,1950,,,
77,Aahuti,1950,,,
78,Badi Bahen,1950,,,
79,Gauna,1950,,,
80,Veer Babruwahan,1950,,,
81,Janmashtami,1950,,,
82,Jodidar,1950,,,
83,Circuswale,1950,,,
84,Bhole Bhale,1950,,,
85,Bebus,1950,,,
86,Babooji,1950,,,
87,Meharbani,1950,,,
88,Wafaa,1950,,,
89,Lajawab,1950,,,
90,Shri Ganesh Mahima,1950,,,
91,Magroor,1950,,,
92,Hamara Ghar,1950,,,
93,Hanste Aansoo,1950,,,
94,Khiladi,1950,,,
95,Khamosh Sipahi,1950,,,
96,Banwra,1950,,,
97,Awaara,1951,8.0,,3440.0
98,Baazi,1951,7.4,,292.0
99,Deedar,1951,7.6,,184.0
100,Tarana,1951,6.9,,118.0
101,Albela,1951,6.5,,61.0
102,Afsana,1951,7.7,,55.0
103,Hulchul,1951,7.2,,43.0
104,Aaram,1951,6.8,,37.0
105,Sazaa,1951,6.1,,35.0
106,Badal,1951,6.7,,33.0
107,Nagina,1951,6.2,,22.0
108,Saiyan,1951,6.8,,20.0
109,Bahar,1951,5.9,,17.0
110,Hum Log,1951,6.3,,15.0
111,Sanam,1951,6.5,,15.0
112,Madhosh,1951,6.8,,12.0
113,Sagai,1951,6.1,,11.0
114,Babla,1951,7.4,,11.0
115,Naujawan,1951,6.0,,11.0
116,Rajput,1951,6.4,,10.0
117,Malhar,1951,4.9,,10.0
118,Ratnadeep,1951,6.6,,10.0
119,Jadoo,1951,5.8,,9.0
120,Kali Ghata,1951,6.3,,9.0
121,Nadaan,1951,6.6,,9.0
122,Dholak,1951,6.3,,7.0
123,Do Sitare,1951,7.4,,7.0
124,Buzdil,1951,6.6,,7.0
125,Pyar Ki Baten,1951,5.0,,6.0
126,25th July,1951,7.6,,5.0
127,Azadi Ke Baad,1951,,,
128,Nakhare,1951,,,
129,Kaale Badal,1951,,,
130,Shokhiyan,1951,,,
131,Sabz Baag,1951,,,
132,Shayun,1951,,,
133,Bedardi,1951,,,
134,Damaad,1951,,,
135,Saagar,1951,,,
136,Badi Bahu,1951,,,
137,Maldar,1951,,,
138,Toofan,1951,,,
139,Jai Mahalaxmi,1951,,,
