name,year,rating,metascore,num_votes
Jogan,1950,7.3,,67.0
Babul,1950,7.0,,57.0
Dastan,1950,6.9,,49.0
Jan Pahchan,1950,7.0,,47.0
Arzoo,1950,6.7,,40.0
Bawre Nain,1950,6.8,,30.0
Dilruba,1950,6.8,,29.0
Nirala,1950,6.4,,27.0
Samadhi,1950,6.4,,26.0
Sangram,1950,6.4,,25.0
Sargam,1950,6.8,,23.0
Afsar,1950,6.6,,19.0
Dahej,1950,5.9,,16.0
Pardes,1950,7.1,,14.0
Beqasoor,1950,6.4,,14.0
Dharti Ke Lal,1950,6.8,,14.0
Sheesh Mahal,1950,7.0,,13.0
Birha Ki Raat,1950,6.9,,13.0
Pyaar,1950,7.9,,11.0
Madhubala,1950,5.7,,11.0
Aadhi Raat,1950,6.1,,10.0
Meena Bazaar,1950,7.0,,9.0
Nili,1950,7.4,,8.0
Har Har Mahadev,1950,5.9,,8.0
Khel,1950,6.9,,8.0
Hamari Beti,1950,6.1,,7.0
Pehla Aadmi,1950,6.6,,7.0
Aankhen,1950,5.7,,6.0
Anmol Ratan,1950,6.2,,5.0
Nishana,1950,7.4,,5.0
Mashaal,1950,6.2,,5.0
Kanjoos,1950,,,
Deewana,1950,,,
Dushman,1950,,,
Loafer,1950,,,
Roti,1950,,,
Sangeeta,1950,,,
Saudamini,1950,,,
Gurudakshina,1950,,,
Bachelor Husband,1950,,,
Bakhshish,1950,,,
Bhagwan Shri Krishna,1950,,,
Biwi,1950,,,
Shri Ram Avtar,1950,,,
Shri Krishna Darshan,1950,,,
Dolti Naiya,1950,,,
Ram Darshan,1950,,,
Raj Rani,1950,,,
Raj Mukut,1950,,,
Pyaar Ki Manzil,1950,,,
Muqaddar,1950,,,
Meri Asha,1950,,,
Chhoti Bhabbi,1950,,,
Bhai Bahen,1950,,,
Sachcha Pyaar,1950,,,
Bahurani,1950,,,
Actor,1950,,,
Achchhaji,1950,,,
Apni Chhaya,1950,,,
Sabak,1950,,,
Lavangi,1950,,,
Man Ka Meet,1950,,,
Shadi Ki Raat,1950,,,
Rupaiya,1950,,,
Nirdosh,1950,,,
Nai Bhabhi,1950,,,
Kamal Ke Phool,1950,,,
Chor,1950,,,
Sati Narmada,1950,,,
Hanste Rehna,1950,,,
Alakh Niranjan,1950,,,
Surajmukhi,1950,,,
Veer Bhimsen,1950,,,
Shaan,1950,,,
Kisi Ki Yaad,1950,,,
Jalte Deep,1950,,,
Pagle,1950,,,
Aahuti,1950,,,
Badi Bahen,1950,,,
Gauna,1950,,,
Veer Babruwahan,1950,,,
Janmashtami,1950,,,
Jodidar,1950,,,
Circuswale,1950,,,
Bhole Bhale,1950,,,
Bebus,1950,,,
Babooji,1950,,,
Meharbani,1950,,,
